language,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9
English,zero,one,two,three,four,five,six,seven,eight,nine
Abkhaz,,акы (akʼə),ҩба (jʷba),хҧа (xpa),ҧшьба (pšba),хуба (xuba),фба (fba),быжьба (bəžba),ааба (aaba),жәба (ẑʷba)
Afrikaans,nul,een,twee,drie,vier,vyf,ses,sewe,ag,nege
Albanian,zero,një,dy,tre,katër,pesë,gjashtë,shtatë,tetë,nëntë
Alutiiq,,all'inguq allringuq allriluq,mal'uk,pingayun,staaman,talliman,arwilgen,mallrungin,inglulgen,qulnguyan
American Sign Language,,1@Side-PalmForward,V@Side-PalmForward,,4@Side-PalmBack,,,,,
Amharic,ባዶ (bado),አንድ (ʾänd),ሁለት (hulät),ሦስት (śost),አራት (ʾärat),አምስት (ʾämsət),ስድስት (sədsət),ሰባት (säbat),ስምንት (səmnət),ዘጠኝ (zäṭäñ)
Ancient Greek,μηδέν (mēdén),εἷς (heîs),δύο (dúo),τρεῖς (treîs),"τέσσαρες (téssares), τέτταρες (téttares)",πέντε (pénte),ἕξ (héx),ἑπτά (heptá),ὀκτώ (oktṓ),ἐννέα (ennéa)
Arabic,صِفْر‎ (ṣifr),وَاحِد‎ (wāḥid),اِثْنَان‎ (iṯnān),ثَلَاثَة‎ (ṯalāṯa),أَرْبَعَة‎ (ʾarbaʿa),خَمْسَة‎ (ḵamsa),سِتَّة‎ (sitta),سَبْعَة‎ (sabʿa),ثَمَانِيَة‎ (ṯamāniya),تِسْعَة‎ (tisʿa)
Aramaic,,"חד‎, ܚܕ‎ (ħad) (m) חדא‎, ܚܕܐ‎ (ħdā’) (f)","תרין‎, ܬܪܝܢ‎ (trēn) (m) תרתין‎, ܬܪܬܝܢ‎ (tartēn) (f)","תלתא‎, ܬܠܬܐ‎ (tlātā’) (m) תלת‎, ܬܠܬ‎ (tlāt) (f)","ארבעא‎, ܐܪܒܥܐ‎ (’arbʕā’) (m) ארבע‎, ܐܪܒܥ‎ (’arbaʕ) (f)",ܚܡܫܐ‎ (ħamšā’) (m) ܚܕܐ‎ (ħamiš) (f),"שתא‎, ܫܬܐ‎ (štā’) (m) שת‎, ܫܬ‎ (šit) (f)",ܫܒܥܐ‎ (šabʕā’) (m) ܫܒܥ‎ (šbaʕ) (f),"תמניא‎, ܬܡܢܝܐ‎ (tmānyā’) (m) תמנא‎, ܬܡܢܐ‎ (tmāne’) (f)","תשעא‎, ܬܫܥܐ‎ (tišʕā’) (m) תשע‎, ܬܡܢܐ‎ (tšaʕ) (f)"
Armenian,զրո (zro),մեկ (mek),երկու (erku),երեք (erekʿ),չորս (čʿors),հինգ (hing),վեց (vecʿ),յոթ (yotʿ),ութ (utʿ),ինը (inə)
Assamese,"শূন্য (xuinno), শূইন (xuin)",এক (ek),দুই (dui),তিনি (tini),চাৰি (sari),পাঁচ (pãs),ছয় (soy),সাত (xat),আঠ (ath),ন (no)
